"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"3502","Best Western Hotels","Y","N","1900-01-01","9999-12-31"
"3503","Sheraton","Y","N","1900-01-01","9999-12-31"
"3504","Hilton Hotels","Y","N","1900-01-01","9999-12-31"
"3505","Forte Hotels","Y","N","1900-01-01","9999-12-31"
"3506","Golden Tulip Hotels","Y","N","1900-01-01","9999-12-31"
"3507","Friendship Inns","Y","N","1900-01-01","9999-12-31"
"3508","Quality Inns","Y","N","1900-01-01","9999-12-31"
"3509","Marriott","Y","N","1900-01-01","9999-12-31"
"3510","Days Inns","Y","N","1900-01-01","9999-12-31"
"3511","Arabella Hotels","Y","N","1900-01-01","9999-12-31"
"3512","Inter-Continental Hotels","Y","N","1900-01-01","9999-12-31"
"3513","Westin","Y","N","1900-01-01","9999-12-31"
"3514","Amerisuites","Y","N","1900-01-01","9999-12-31"
"3515","Rodeway Inns","Y","N","1900-01-01","9999-12-31"
"3516","La Quinta Inn and Suites","Y","N","1900-01-01","9999-12-31"
"3517","Americana Hotels","Y","N","1900-01-01","9999-12-31"
"3518","Sol Hotels","Y","N","1900-01-01","9999-12-31"
"3519","Pullman International Hotels","Y","N","1900-01-01","9999-12-31"
"3520","Meridien Hotels","Y","N","1900-01-01","9999-12-31"
"3521","Royal Lahaina Resorts","Y","N","1900-01-01","9999-12-31"
"3522","Tokyo Hotel","Y","N","1900-01-01","9999-12-31"
"3523","Peninsula Hotel","Y","N","1900-01-01","9999-12-31"
"3524","Welcomgroup Hotels","Y","N","1900-01-01","9999-12-31"
"3525","Dunfey Hotels","Y","N","1900-01-01","9999-12-31"
"3526","Prince Hotels","Y","N","1900-01-01","9999-12-31"
"3527","Downtowner-Passport Hotel","Y","N","1900-01-01","9999-12-31"
"3528","Red Lion Inns","Y","N","1900-01-01","9999-12-31"
"3529","Cp Hotels","Y","N","1900-01-01","9999-12-31"
"3530","Renaissance Hotels","Y","N","1900-01-01","9999-12-31"
"3531","Kauai Coconut Beach Resort","Y","N","1900-01-01","9999-12-31"
"3532","Royal Kona Resort","Y","N","1900-01-01","9999-12-31"
"3533","Hotel Ibis","Y","N","1900-01-01","9999-12-31"
"3534","Southern Pacific Hotels","Y","N","1900-01-01","9999-12-31"
"3535","Hilton Internationals","Y","N","1900-01-01","9999-12-31"
"3536","Amfac Hotels","Y","N","1900-01-01","9999-12-31"
"3537","Ana Hotel","Y","N","1900-01-01","9999-12-31"
"3538","Concorde Hotels","Y","N","1900-01-01","9999-12-31"
"3539","Summerfield Suites Hotels","Y","N","1900-01-01","9999-12-31"
"3540","Iberotel Hotels","Y","N","1900-01-01","9999-12-31"
"3541","Hotel Okura","Y","N","1900-01-01","9999-12-31"
"3542","Royal Hotels","Y","N","1900-01-01","9999-12-31"
"3543","Four Seasons Hotels","Y","N","1900-01-01","9999-12-31"
